bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,Manhattan,Brooklyn,Queens,Entire_home,Private_room,Shared_room,price
1.0,0,1,1000,75,2,30,69,99,1,0,0,1,0,0,212
1.0,1,1,0,50,2,80,11,91,0,1,0,1,0,0,140
1.0,2,2,200,60,4,15,189,87,1,0,0,1,0,0,135
1.0,1,1,300,80,3,35,69,99,0,1,0,1,0,0,190
1.0,1,1,500,120,1,0,23,97,1,0,0,1,0,0,124
1.0,1,2,0,120,2,0,56,98,0,1,0,1,0,0,135
1.0,1,1,0,0,1,15,96,96,1,0,0,0,1,0,122
1.0,1,2,0,100,1,0,64,91,1,0,0,0,1,0,85
1.0,2,3,250,75,1,20,129,89,0,1,0,1,0,0,145
1.0,1,2,500,80,2,20,30,99,1,0,0,1,0,0,195
1.0,3,4,500,100,4,50,109,99,0,1,0,1,0,0,250
1.0,1,1,500,100,2,0,6,97,0,1,0,0,1,0,125
1.0,1,1,1000,65,2,30,48,96,1,0,0,1,0,0,150
1.0,1,1,0,40,1,25,47,95,0,1,0,0,1,0,70
1.0,1,1,0,50,1,25,52,97,1,0,0,0,1,0,65
2.0,2,3,500,77,2,39,64,83,0,1,0,1,0,0,185
1.0,2,4,0,75,4,100,33,99,1,0,0,1,0,0,250
1.0,1,1,1000,170,2,0,39,97,1,0,0,1,0,0,200
1.0,1,1,0,120,1,0,4,90,0,0,0,1,0,0,92
1.0,1,1,300,65,1,20,31,89,0,1,0,0,1,0,59
1.0,1,1,0,60,2,15,64,100,0,1,0,1,0,0,195
1.0,1,1,1000,100,1,50,37,96,1,0,0,0,1,0,150
2.5,3,4,500,120,5,50,14,95,0,1,0,1,0,0,350
2.0,1,1,100,50,1,10,76,82,0,1,0,0,1,0,120
1.0,1,2,0,10,1,15,183,87,1,0,0,0,1,0,71
1.0,1,1,0,25,1,25,66,97,0,1,0,0,1,0,100
1.0,2,2,500,100,1,0,81,95,0,1,0,1,0,0,200
1.0,2,3,500,150,1,0,5,92,0,1,0,1,0,0,130
1.0,1,1,500,100,1,10,11,90,0,1,0,1,0,0,79
1.0,2,3,500,75,2,35,152,95,1,0,0,1,0,0,150
1.0,1,4,350,90,4,15,78,94,0,1,0,1,0,0,120
1.0,1,1,300,35,2,0,42,97,0,0,1,0,1,0,80
1.5,1,1,500,85,1,15,104,97,0,1,0,1,0,0,120
1.0,2,4,250,50,4,20,4,90,0,1,0,1,0,0,200
1.5,1,3,200,100,2,40,11,100,0,1,0,0,1,0,165
1.0,0,1,0,60,1,0,15,100,0,1,0,1,0,0,123
1.0,1,1,0,40,1,20,137,94,1,0,0,0,1,0,67
1.0,1,2,500,150,1,0,98,99,0,1,0,1,0,0,130
1.0,1,3,275,120,1,0,45,93,1,0,0,1,0,0,212
1.0,2,2,250,85,2,25,167,85,1,0,0,1,0,0,249
1.0,1,1,300,50,1,0,13,98,0,0,1,0,1,0,70
1.0,1,1,500,100,2,0,87,97,0,1,0,1,0,0,135
1.0,1,1,400,95,1,0,51,92,1,0,0,1,0,0,120
1.0,0,2,199,49,1,6,55,98,1,0,0,1,0,0,139
2.0,3,3,350,120,2,40,27,90,0,1,0,1,0,0,199
1.0,2,3,0,120,1,45,56,97,1,0,0,1,0,0,211
1.0,1,1,150,75,1,25,95,90,0,1,0,1,0,0,150
1.0,2,2,300,100,2,50,70,96,0,1,0,1,0,0,110
1.0,2,3,0,120,4,15,53,95,0,1,0,1,0,0,190
2.0,2,2,250,60,2,0,23,99,0,1,0,1,0,0,165
1.0,0,2,500,65,1,25,147,94,1,0,0,1,0,0,110
1.0,2,2,300,120,1,0,73,99,1,0,0,1,0,0,395
1.0,1,2,200,75,2,35,118,93,1,0,0,1,0,0,122
1.0,1,1,100,75,1,0,178,98,0,1,0,1,0,0,165
1.0,1,1,500,50,1,10,28,93,0,0,1,1,0,0,97
1.0,1,0,200,50,2,0,65,97,1,0,0,0,1,0,76
2.5,3,3,1000,200,3,15,18,98,0,1,0,1,0,0,225
1.0,1,1,500,20,2,25,71,87,0,1,0,1,0,0,64
0.5,1,2,1000,100,1,0,69,93,1,0,0,1,0,0,185
2.0,3,4,500,160,5,40,35,87,0,1,0,1,0,0,495
1.0,1,1,500,50,2,20,68,93,1,0,0,1,0,0,175
1.0,2,0,300,100,4,39,17,96,1,0,0,1,0,0,259
1.0,2,2,350,100,1,0,3,93,1,0,0,1,0,0,95
1.0,3,3,650,120,3,60,72,99,0,1,0,1,0,0,451
1.0,2,1,200,85,2,50,193,93,1,0,0,1,0,0,165
1.0,3,3,500,100,1,0,22,100,1,0,0,1,0,0,250
1.0,1,1,500,80,1,25,8,97,0,1,0,0,1,0,98
1.0,1,1,400,30,1,30,25,96,1,0,0,0,1,0,95
1.0,1,1,100,50,1,0,120,94,1,0,0,0,1,0,55
1.0,1,1,250,115,2,25,110,98,0,1,0,1,0,0,125
1.0,1,1,0,50,2,0,175,97,1,0,0,0,1,0,175
1.0,1,1,300,80,2,20,88,90,0,1,0,1,0,0,72
1.0,1,1,250,85,1,0,117,94,0,1,0,1,0,0,140
1.0,1,1,0,35,2,15,40,98,0,1,0,0,1,0,80
1.0,1,2,100,0,2,0,37,97,1,0,0,0,1,0,150
1.0,1,1,200,50,1,0,105,97,1,0,0,1,0,0,200
2.5,3,3,500,200,4,0,37,99,0,1,0,1,0,0,450
1.0,3,3,0,150,5,100,43,96,1,0,0,1,0,0,198
1.0,1,1,0,75,1,25,58,93,1,0,0,0,1,0,140
1.0,2,3,250,100,1,0,188,93,1,0,0,1,0,0,250
1.0,1,1,100,15,1,15,34,95,1,0,0,0,1,0,75
1.0,1,1,200,120,1,0,3,100,1,0,0,1,0,0,205
1.0,1,1,400,125,1,0,150,97,1,0,0,1,0,0,190
1.0,1,1,100,50,2,0,101,92,0,1,0,1,0,0,105
2.5,2,4,200,150,2,40,11,95,1,0,0,1,0,0,250
2.0,1,1,100,20,1,25,42,95,1,0,0,0,1,0,65
1.0,1,1,0,100,1,30,43,94,1,0,0,1,0,0,170
1.0,1,1,100,25,1,0,121,88,0,0,0,0,1,0,37
1.5,1,1,1000,75,1,45,36,97,0,1,0,0,1,0,85
1.0,0,1,500,80,1,0,18,96,1,0,0,1,0,0,215
1.5,1,1,150,50,2,25,17,100,1,0,0,0,1,0,170
1.0,1,0,200,60,1,30,3,87,1,0,0,0,1,0,115
1.0,1,1,450,45,1,20,183,97,1,0,0,0,1,0,140
2.5,2,2,500,120,2,25,106,94,1,0,0,1,0,0,400
1.0,2,1,300,150,4,0,11,100,0,1,0,1,0,0,150
1.0,1,1,100,80,2,100,32,93,0,1,0,1,0,0,97
2.0,3,4,1000,120,4,50,21,99,0,1,0,1,0,0,500
1.5,2,2,300,150,2,0,18,100,1,0,0,1,0,0,429
1.0,1,1,200,85,2,100,92,95,1,0,0,1,0,0,189
1.0,1,1,500,50,1,50,101,98,1,0,0,0,1,0,130
1.0,1,1,400,100,2,5,21,97,0,0,1,1,0,0,107
1.0,1,1,200,100,2,5,24,94,0,0,1,1,0,0,95
1.0,1,1,500,50,1,20,66,94,1,0,0,0,1,0,199
1.0,1,1,0,25,1,0,94,99,0,1,0,0,1,0,75
1.0,1,1,200,95,1,0,193,96,0,1,0,1,0,0,99
1.0,3,5,300,150,1,0,1,100,0,1,0,1,0,0,290
1.0,1,1,0,0,1,40,89,93,1,0,0,0,1,0,99
1.0,1,1,250,70,2,40,92,93,0,1,0,1,0,0,99
1.0,1,1,500,100,2,0,40,98,1,0,0,1,0,0,169
1.0,1,1,200,120,2,30,43,99,0,1,0,1,0,0,160
1.0,1,1,300,75,3,20,33,95,0,1,0,1,0,0,215
1.0,2,4,250,50,2,50,185,92,0,1,0,1,0,0,130
1.0,1,1,300,110,1,25,81,97,1,0,0,0,1,0,110
1.0,1,1,600,100,1,0,43,96,1,0,0,0,1,0,139
1.0,1,1,300,30,1,20,52,88,0,1,0,0,1,0,65
1.0,1,1,0,65,1,15,75,93,0,1,0,0,1,0,42
0.0,2,2,200,65,1,45,46,94,0,1,0,0,1,0,85
1.0,2,2,200,125,4,25,86,87,0,1,0,1,0,0,139
1.0,1,1,100,70,2,30,123,94,1,0,0,1,0,0,149
1.0,1,1,300,60,1,20,50,96,1,0,0,0,1,0,75
1.0,1,1,1000,75,1,0,25,90,1,0,0,1,0,0,160
1.0,1,3,250,100,2,18,60,90,0,1,0,1,0,0,248
1.5,1,1,100,0,1,15,177,93,1,0,0,0,1,0,95
1.0,1,2,0,100,3,75,124,98,0,1,0,1,0,0,145
1.0,1,1,250,75,1,0,56,95,0,1,0,0,1,0,41
1.0,1,3,400,70,1,0,89,93,0,1,0,1,0,0,120
1.0,1,1,500,130,2,50,32,98,0,1,0,1,0,0,195
1.0,1,2,0,25,2,15,128,92,0,1,0,1,0,0,70
1.0,2,2,125,75,3,40,31,89,0,1,0,1,0,0,145
1.0,1,1,500,100,2,50,60,95,1,0,0,1,0,0,250
1.0,1,1,100,45,1,0,182,97,1,0,0,1,0,0,230
2.0,1,1,1000,150,1,25,26,99,1,0,0,0,1,0,200
1.0,0,2,200,100,2,5,25,92,0,0,1,1,0,0,95
2.0,2,4,0,100,6,10,45,98,1,0,0,1,0,0,300
1.0,1,1,500,150,2,30,7,91,0,1,0,1,0,0,100
1.0,1,1,100,25,1,0,21,93,1,0,0,0,1,0,80
1.0,2,4,0,100,2,50,8,83,0,1,0,1,0,0,172
1.0,1,0,450,100,2,0,29,94,1,0,0,1,0,0,199
1.0,1,1,450,100,2,0,14,94,1,0,0,1,0,0,199
1.0,1,1,100,30,1,50,33,96,1,0,0,0,1,0,100
1.0,1,1,350,110,2,35,143,92,1,0,0,1,0,0,146
1.0,1,1,0,0,2,80,82,97,1,0,0,0,1,0,150
1.0,1,1,500,0,1,20,60,92,1,0,0,0,1,0,69
1.0,3,3,1000,125,1,0,6,92,1,0,0,0,1,0,300
0.0,1,0,200,100,3,40,18,98,0,1,0,1,0,0,230
1.0,1,1,200,0,1,10,116,97,0,1,0,0,1,0,79
1.0,1,5,0,60,2,40,156,97,0,1,0,0,1,0,130
1.0,1,1,0,20,2,100,164,97,0,1,0,0,1,0,239
1.0,1,2,150,70,2,35,77,92,0,0,0,1,0,0,75
1.0,2,3,500,90,4,25,119,99,0,1,0,1,0,0,220
1.0,2,4,200,95,4,12,125,97,1,0,0,1,0,0,288
1.0,1,2,250,50,2,20,82,98,0,1,0,1,0,0,135
1.0,2,2,500,120,4,50,13,97,1,0,0,1,0,0,225
1.0,1,2,250,100,2,50,63,97,0,1,0,1,0,0,100
1.0,1,1,300,30,1,70,52,97,1,0,0,0,1,0,130
1.0,1,1,120,20,2,25,35,95,0,1,0,1,0,0,99
1.0,1,1,500,100,2,20,115,98,1,0,0,1,0,0,135
1.0,1,1,300,135,2,5,105,87,1,0,0,1,0,0,139
1.0,0,1,500,150,1,0,83,91,1,0,0,1,0,0,179
1.0,1,1,300,175,1,10,62,96,1,0,0,0,1,0,110
2.0,3,3,1000,150,2,20,40,98,0,1,0,1,0,0,300
1.0,1,1,300,50,1,65,80,97,1,0,0,0,1,0,149
1.0,1,1,700,100,2,0,137,94,1,0,0,1,0,0,190
1.0,1,2,500,120,2,20,32,100,0,1,0,1,0,0,178
1.0,1,3,250,75,2,15,128,95,0,1,0,1,0,0,180
2.0,2,2,1500,150,5,0,40,92,0,1,0,1,0,0,350
1.0,1,3,300,125,2,25,139,87,1,0,0,1,0,0,99
1.0,1,1,300,90,2,10,170,96,1,0,0,1,0,0,112
1.0,1,1,250,60,1,25,125,97,0,1,0,0,1,0,85
1.0,2,2,0,40,4,100,43,99,0,1,0,0,1,0,438
1.0,1,1,300,75,1,0,8,100,0,1,0,1,0,0,110
1.0,1,1,0,20,2,100,121,99,0,1,0,0,1,0,279
1.0,1,1,250,140,1,35,25,91,0,1,0,1,0,0,137
1.0,1,2,200,140,2,15,181,92,0,1,0,1,0,0,180
1.0,1,2,0,100,2,0,35,92,1,0,0,1,0,0,226
1.0,1,1,300,85,1,12,63,96,0,0,1,1,0,0,79
1.0,1,1,0,100,1,0,130,99,0,1,0,1,0,0,295
1.0,1,1,0,125,2,50,11,100,1,0,0,0,1,0,125
1.0,1,1,0,50,1,40,152,96,1,0,0,0,1,0,115
2.0,3,5,150,120,2,0,13,98,0,1,0,1,0,0,96
1.0,1,1,100,50,1,25,3,93,0,1,0,0,1,0,69
1.0,1,0,1000,130,2,50,16,96,1,0,0,1,0,0,185
1.0,1,1,0,40,1,0,56,84,0,0,1,0,1,0,50
2.0,3,3,500,70,4,0,178,97,0,1,0,1,0,0,220
1.0,2,2,150,75,3,25,190,90,0,1,0,1,0,0,170
0.5,1,1,100,25,1,15,25,95,0,1,0,0,1,0,65
2.0,2,2,500,125,4,25,25,99,1,0,0,1,0,0,495
1.0,2,2,0,100,2,20,31,97,0,1,0,1,0,0,125
1.0,1,1,200,80,2,20,138,97,0,1,0,1,0,0,139
1.0,1,1,300,75,1,0,46,95,1,0,0,1,0,0,325
1.5,3,4,300,100,5,25,22,99,0,0,0,1,0,0,250
1.0,1,3,250,75,2,25,8,91,0,0,0,1,0,0,125
1.0,1,1,300,50,1,20,4,100,0,1,0,1,0,0,70
2.0,2,2,0,120,3,15,21,98,0,1,0,1,0,0,130
1.0,1,1,150,150,1,30,52,94,1,0,0,0,1,0,101
1.0,1,1,250,25,1,0,58,93,0,1,0,1,0,0,92
1.0,2,2,300,75,1,0,155,88,1,0,0,1,0,0,300
1.0,3,3,200,125,2,5,111,93,0,1,0,1,0,0,145
1.0,1,1,120,25,1,15,171,89,1,0,0,0,1,0,85
1.0,1,1,150,40,1,0,21,100,0,1,0,0,1,0,99
1.0,0,2,300,150,1,0,36,89,1,0,0,1,0,0,109
1.0,1,2,400,170,3,0,16,98,1,0,0,1,0,0,167
1.0,2,2,100,100,2,50,68,92,1,0,0,1,0,0,195
1.0,1,1,100,25,1,0,46,100,0,0,1,0,1,0,55
1.0,1,1,150,100,1,10,21,100,0,1,0,0,1,0,60
1.0,2,2,500,130,3,50,65,96,1,0,0,1,0,0,350
1.0,1,1,0,15,1,10,21,87,0,1,0,0,1,0,45
1.0,1,1,100,50,1,25,17,95,0,1,0,0,1,0,34
1.0,1,1,0,100,2,50,26,94,1,0,0,1,0,0,250
1.0,1,1,200,75,2,25,30,86,0,1,0,0,1,0,190
1.0,1,1,0,75,1,25,5,88,0,1,0,0,1,0,75
1.0,2,5,200,14,1,14,119,90,0,1,0,1,0,0,93
1.0,1,1,150,30,1,0,10,96,0,1,0,0,1,0,60
1.0,1,1,150,30,1,0,45,97,0,1,0,0,1,0,65
1.0,1,2,0,0,2,0,20,87,1,0,0,1,0,0,56
1.0,1,1,500,150,1,49,49,94,1,0,0,1,0,0,299
1.0,1,1,0,0,1,55,6,96,0,1,0,0,1,0,60
